Birth City,Number of Players,Mean Player Salary,Median Player Salary,Player Salary Variance,Player Salary Std. Dev.,Player Salary Std. Error
Cheyenne,2,"$503,300","$503,300","$79,380,000","$8,910","$6,300"
Champaign,2,"$790,625","$485,000","$487,245,982,143","$698,030","$246,791"
Tomball,2,"$589,500","$462,500","$123,306,857,143","$351,151","$124,151"
Centralia,2,"$2,953,917","$1,425,000","$9,475,075,719,697","$3,078,161","$888,589"
Cayey,2,"$407,262","$407,262","$20,915,237,812","$144,621","$102,262"
Castro Valley,2,"$1,442,350","$648,300","$2,164,145,735,000","$1,471,104","$600,576"
Colon,2,"$483,500","$392,500","$68,330,000,000","$261,400","$116,902"
Concord,2,"$7,909,254","$9,463,237","$14,012,335,649,393","$3,743,305","$1,128,649"
Corona,2,"$5,273,818","$3,800,000","$25,195,491,363,636","$5,019,511","$1,513,440"
Covington,2,"$356,050","$359,000","$17,249,076,667","$131,336","$65,668"
Smithtown,2,"$3,879,444","$3,000,000","$7,482,032,026,144","$2,735,330","$644,724"
Smyrna,2,"$356,188","$356,188","$48,789,070,312","$220,882","$156,188"
East St. Louis,2,"$1,893,750","$2,000,000","$1,896,822,916,667","$1,377,252","$688,626"
East Chicago,2,"$2,935,020","$2,062,500","$8,139,194,022,096","$2,852,927","$823,569"
Sonora,2,"$1,548,573","$1,100,000","$1,508,686,948,182","$1,228,286","$370,342"
Dunedin,2,"$1,083,500","$593,750","$1,186,528,555,556","$1,089,279","$344,460"
Dublin,2,"$863,125","$725,000","$177,735,267,857","$421,587","$149,053"
South Boston,2,"$1,491,211","$1,700,000","$708,742,763,611","$841,869","$280,623"
Donelson,2,"$407,425","$418,750","$6,562,189,167","$81,007","$40,504"
Spartanburg,2,"$513,400","$513,400","$30,420,000","$5,515","$3,900"
Spring,2,"$7,172,301","$4,325,000","$43,531,540,437,668","$6,597,844","$1,600,212"
Dearborn,2,"$6,982,119","$5,750,000","$33,238,502,548,292","$5,765,284","$1,441,321"
David,2,"$3,203,000","$2,325,000","$10,275,673,333,333","$3,205,569","$1,013,690"
Staten Island,2,"$416,825","$440,625","$22,698,806,250","$150,661","$47,643"
Sterling,2,"$1,311,875","$1,004,375","$1,570,267,343,750","$1,253,103","$511,577"
Trenton,2,"$3,569,545","$4,000,000","$5,944,572,272,727","$2,438,149","$735,130"
Canton,2,"$269,333","$203,000","$13,806,333,333","$117,500","$67,839"
Tullahoma,2,"$666,750","$521,500","$93,092,750,000","$305,111","$152,556"
Wheat Ridge,2,"$1,316,000","$510,500","$3,310,600,000,000","$1,819,505","$643,292"
Asheville,2,"$1,987,577","$650,000","$5,471,419,757,229","$2,339,107","$739,690"
Arlington Heights,2,"$2,190,476","$1,641,666","$2,107,124,640,293","$1,451,594","$387,955"
Wichita Falls,2,"$497,000","$497,000","$480,500,000","$21,920","$15,500"
Arecibo,2,"$6,658,214","$7,500,000","$25,424,138,988,095","$5,042,236","$1,905,786"
Willingboro,2,"$4,141,250","$4,000,000","$9,028,126,736,111","$3,004,684","$950,165"
Annapolis,2,"$9,791,130","$6,400,000","$81,578,083,936,759","$9,032,059","$1,883,314"
Winston-Salem,2,"$2,768,750","$2,650,000","$1,310,669,642,857","$1,144,845","$404,764"
Woodland,2,"$5,109,773","$3,750,000","$24,915,084,468,182","$4,991,501","$1,504,994"
Albany,2,"$338,333","$270,000","$17,308,333,333","$131,561","$75,957"
Yaguate,2,"$880,619","$504,238","$663,041,431,406","$814,274","$407,137"
Yakima,2,"$659,286","$345,000","$312,628,571,429","$559,132","$211,332"
Aguadulce,2,"$9,354,036","$8,250,000","$54,718,414,556,319","$7,397,190","$1,976,982"
Yonkers,2,"$428,750","$428,750","$17,578,125,000","$132,583","$93,750"
Ada,2,"$1,451,714","$440,000","$3,010,760,571,429","$1,735,154","$655,827"
Zanesville,2,"$2,028,864","$1,500,000","$3,476,506,704,545","$1,864,539","$562,180"
Wheeling,2,"$450,452","$400,000","$14,514,131,520","$120,475","$53,878"
Azua,2,"$2,306,822","$2,612,500","$3,499,252,168,100","$1,870,629","$467,657"
Tupelo,2,"$2,840,150","$1,714,500","$9,302,397,891,667","$3,049,983","$964,489"
West Chester,2,"$508,167","$507,500","$53,623,333","$7,323","$4,228"
Camden,2,"$402,625","$447,750","$20,011,895,833","$141,463","$70,732"
Cambridge,2,"$1,566,000","$1,000,000","$1,536,280,000,000","$1,239,468","$554,307"
Bryan,2,"$3,997,851","$625,000","$46,814,718,479,769","$6,842,128","$3,421,064"
Bridgeport,2,"$4,570,000","$6,000,000","$8,179,600,000,000","$2,860,000","$1,430,000"
Villa Altagracia,2,"$315,375","$309,000","$4,190,229,167","$64,732","$32,366"
Breese,2,"$884,860","$522,000","$276,262,373,200","$525,607","$198,661"
Brawley,2,"$1,970,267","$1,287,500","$3,914,504,662,424","$1,978,511","$571,147"
Brandon,2,"$479,775","$500,450","$2,935,482,500","$54,180","$27,090"
Villa Vasquez,2,"$1,402,077","$800,000","$1,331,922,743,590","$1,154,090","$320,087"
Villa de Cura,2,"$504,700","$507,500","$374,825,000","$19,360","$8,658"
Wailuku,2,"$4,767,500","$3,437,500","$21,130,802,777,778","$4,596,825","$1,054,584"
Waterbury,2,"$471,667","$450,000","$71,908,333,333","$268,157","$154,821"
Barranquilla,2,"$5,606,859","$6,500,000","$12,831,132,364,883","$3,582,057","$924,883"
Barberton,2,"$511,060","$416,900","$50,548,473,000","$224,830","$100,547"
West,2,"$1,136,700","$725,000","$929,347,977,143","$964,027","$340,835"
Sioux City,2,"$727,600","$505,500","$329,629,925,000","$574,134","$256,761"
Newport News,2,"$505,450","$505,450","$59,405,000","$7,707","$5,450"
Elizabeth,2,"$451,400","$451,400","$4,723,920,000","$68,731","$48,600"
Galveston,2,"$1,046,833","$545,000","$1,167,750,875,000","$1,080,625","$360,208"
Fredericksburg,2,"$1,014,500","$420,500","$1,469,260,571,429","$1,212,131","$428,553"
Esperanza,2,"$1,149,500","$1,080,000","$586,947,666,667","$766,125","$383,063"
Fort Riley,2,"$8,274,308","$8,000,000","$15,404,997,897,436","$3,924,920","$1,088,577"
Fairfax,2,"$1,868,469","$650,000","$4,678,504,582,292","$2,162,985","$540,746"
Fort Pierce,2,"$2,617,656","$1,375,000","$7,495,151,223,958","$2,737,727","$684,432"
Sendai,2,"$3,293,667","$2,600,000","$4,735,030,842,444","$2,176,013","$688,116"
Freehold,2,"$509,550","$508,500","$104,643,333","$10,230","$5,115"
Escondido,2,"$457,000","$480,000","$2,467,000,000","$49,669","$28,676"
Seoul,2,"$321,500","$307,500","$736,250,000","$27,134","$12,135"
Englewood,2,"$1,208,000","$900,000","$669,886,050,000","$818,466","$246,777"
Evergreen Park,2,"$1,280,227","$800,000","$1,376,506,268,182","$1,173,246","$353,747"
Sandpoint,2,"$474,800","$491,050","$2,638,220,000","$51,364","$25,682"
Everett,2,"$460,300","$465,000","$2,725,860,000","$52,210","$26,105"
Sebring,2,"$2,948,667","$2,800,000","$3,298,413,482,333","$1,816,153","$468,929"
Gastonia,2,"$4,486,861","$2,400,000","$19,656,967,604,412","$4,433,618","$924,473"
Fort Collins,2,"$1,287,357","$625,000","$1,805,691,392,857","$1,343,760","$507,894"
Frankfurt,2,"$1,018,722","$900,000","$612,360,319,444","$782,535","$260,845"
Elmhurst,2,"$1,875,850","$1,887,500","$1,861,323,288,571","$1,364,303","$482,354"
Fayetteville,2,"$3,052,340","$2,663,360","$8,504,071,254,977","$2,916,174","$1,031,023"
